10.0.0.1,10.0.0.2,1,['2']
10.0.0.1,10.0.0.3,1,['3']
10.0.0.1,10.0.0.4,1,['4']
10.0.0.1,10.0.0.5,2,['5']
10.0.0.1,10.0.0.6,1,['6']
10.0.0.1,10.0.0.7,3,['6', '8', '7']
10.0.0.1,10.0.0.8,2,['6']
10.0.0.1,10.0.0.9,3,['6', '8', '9']
10.0.0.1,10.0.0.10,4,['6', '8', '10']
10.0.0.1,10.0.0.11,4,['6', '8', '11']
10.0.0.1,10.0.0.12,4,['6', '8', '12']
10.0.0.1,10.0.0.13,6,['6', '8', '11', '14', '13']
10.0.0.1,10.0.0.14,5,['6', '8', '11']
10.0.0.1,10.0.0.15,6,['6', '8', '11', '14', '15']
10.0.0.1,10.0.0.16,10,['3', '32', '26', '25', '22', '20', '16']
10.0.0.1,10.0.0.17,8,['6', '8', '11', '14', '17']
10.0.0.1,10.0.0.18,10,['3', '32', '26', '25', '22', '20', '18']
10.0.0.1,10.0.0.19,9,['6', '8', '11', '14', '19']
10.0.0.1,10.0.0.20,10,['6', '8', '11', '14', '20']
10.0.0.1,10.0.0.21,12,['6', '8', '11', '14', '20', '22', '21']
10.0.0.1,10.0.0.22,11,['6', '8', '11', '14', '20']
10.0.0.1,10.0.0.23,5,['3', '32', '26', '25', '23']
10.0.0.1,10.0.0.24,5,['3', '32', '26', '25', '24']
10.0.0.1,10.0.0.25,13,['6', '8', '11', '14', '20', '22', '25']
10.0.0.1,10.0.0.26,3,['3', '32', '26']
10.0.0.1,10.0.0.27,4,['3', '32', '27']
10.0.0.1,10.0.0.28,4,['3', '32', '28']
10.0.0.1,10.0.0.29,4,['3', '32', '29']
10.0.0.1,10.0.0.30,3,['3', '32', '30']
10.0.0.1,10.0.0.31,3,['3', '32', '31']
10.0.0.1,10.0.0.32,2,['3']
10.0.0.2,10.0.0.1,1,['1']
10.0.0.2,10.0.0.3,1,['3']
10.0.0.2,10.0.0.4,2,['4']
10.0.0.2,10.0.0.5,3,['5']
10.0.0.2,10.0.0.6,2,['6']
10.0.0.2,10.0.0.7,4,['6', '8', '7']
10.0.0.2,10.0.0.8,3,['6']
10.0.0.2,10.0.0.9,4,['6', '8', '9']
10.0.0.2,10.0.0.10,5,['6', '8', '10']
10.0.0.2,10.0.0.11,5,['6', '8', '11']
10.0.0.2,10.0.0.12,5,['6', '8', '12']
10.0.0.2,10.0.0.13,7,['6', '8', '11', '14', '13']
10.0.0.2,10.0.0.14,6,['6', '8', '11']
10.0.0.2,10.0.0.15,7,['6', '8', '11', '14', '15']
10.0.0.2,10.0.0.16,10,['3', '32', '26', '25', '22', '20', '16']
10.0.0.2,10.0.0.17,9,['6', '8', '11', '14', '17']
10.0.0.2,10.0.0.18,10,['3', '32', '26', '25', '22', '20', '18']
10.0.0.2,10.0.0.19,10,['6', '8', '11', '14', '19']
10.0.0.2,10.0.0.20,11,['6', '8', '11', '14', '20']
10.0.0.2,10.0.0.21,13,['6', '8', '11', '14', '20', '22', '21']
10.0.0.2,10.0.0.22,12,['6', '8', '11', '14', '20']
10.0.0.2,10.0.0.23,5,['3', '32', '26', '25', '23']
10.0.0.2,10.0.0.24,5,['3', '32', '26', '25', '24']
10.0.0.2,10.0.0.25,14,['6', '8', '11', '14', '20', '22', '25']
10.0.0.2,10.0.0.26,3,['3', '32', '26']
10.0.0.2,10.0.0.27,4,['3', '32', '27']
10.0.0.2,10.0.0.28,4,['3', '32', '28']
10.0.0.2,10.0.0.29,4,['3', '32', '29']
10.0.0.2,10.0.0.30,3,['3', '32', '30']
10.0.0.2,10.0.0.31,3,['3', '32', '31']
